Year,Month,Day,Category,Product,Sales,IsFestival,IsWeekend,Season
2018,january,monday,electronics,mobile,253,False,False,winter
2018,january,monday,electronics,laptop,276,True,True,winter
2018,january,monday,electronics,headphones,392,True,False,winter
2018,january,monday,electronics,camera,121,True,False,winter
2018,january,monday,electronics,television,237,True,True,winter
2018,january,monday,electronics,printer,121,True,True,winter
2018,january,monday,electronics,speaker,44,False,False,winter
2018,january,monday,electronics,smartwatch,165,True,True,winter
2018,january,monday,electronics,tablet,107,False,False,winter
2018,january,monday,electronics,heater,64,True,False,winter
2018,january,monday,beverages,coffee power,271,False,True,winter
2018,january,monday,beverages,softdrink,323,False,False,winter
2018,january,monday,beverages,juice,399,True,True,winter
2018,january,monday,beverages,energydrink,345,True,True,winter
2018,january,monday,beverages,milk,124,True,False,winter
2018,january,monday,clothing,saree,103,False,False,winter
2018,january,monday,clothing,kurta,156,False,False,winter
2018,january,monday,clothing,lehenga,100,False,True,winter
2018,january,monday,clothing,jeans,304,True,False,winter
2018,january,monday,clothing,shirt,251,False,False,winter
2018,january,monday,clothing,tshirt,303,False,False,winter
2018,january,monday,clothing,trouser,244,True,False,winter
2018,january,monday,clothing,jacket,172,True,False,winter
2018,january,monday,clothing,blazer,65,False,True,winter
2018,january,monday,clothing,suit,68,False,True,winter
2018,january,monday,travel,powerbank,303,False,False,winter
2018,january,monday,travel,backpack,443,True,True,winter
2018,january,monday,travel,luggage,208,False,False,winter
2018,january,monday,travel,trolley,176,True,False,winter
2018,january,monday,travel,bag,183,True,True,winter
2018,january,monday,travel,wallet,354,True,True,winter
2018,january,monday,travel,sunglasses,180,True,True,winter
2018,january,monday,travel,watch,177,True,False,winter
2018,january,monday,travel,shoes,254,False,False,winter
2018,january,monday,travel,umbrella,268,False,True,winter
2018,january,monday,beauty,lipstick,229,False,True,winter
2018,january,monday,beauty,eyeliner,314,True,False,winter
2018,january,monday,beauty,mascara,158,False,False,winter
2018,january,monday,beauty,foundation,158,True,True,winter
2018,january,monday,beauty,compact,103,False,False,winter
2018,january,monday,beauty,kajal,209,False,False,winter
2018,january,monday,beauty,nailpolish,207,False,False,winter
2018,january,monday,beauty,perfume,132,True,False,winter
2018,january,monday,beauty,shampoo,377,True,False,winter
2018,january,monday,beauty,conditioner,313,True,False,winter
2018,january,tuesday,electronics,mobile,332,True,False,winter
2018,january,tuesday,electronics,laptop,165,False,True,winter
2018,january,tuesday,electronics,headphones,389,True,False,winter
2018,january,tuesday,electronics,camera,181,True,True,winter
2018,january,tuesday,electronics,television,163,True,False,winter
2018,january,tuesday,electronics,printer,63,False,False,winter
2018,january,tuesday,electronics,speaker,59,True,False,winter
2018,january,tuesday,electronics,smartwatch,168,True,True,winter
2018,january,tuesday,electronics,tablet,126,False,True,winter
2018,january,tuesday,electronics,heater,58,False,True,winter
2018,january,tuesday,beverages,coffee power,273,False,True,winter
2018,january,tuesday,beverages,softdrink,375,True,False,winter
2018,january,tuesday,beverages,juice,205,False,False,winter
2018,january,tuesday,beverages,energydrink,337,True,True,winter
2018,january,tuesday,beverages,milk,107,False,False,winter
2018,january,tuesday,clothing,saree,233,True,True,winter
2018,january,tuesday,clothing,kurta,175,False,True,winter
2018,january,tuesday,clothing,lehenga,89,False,False,winter
2018,january,tuesday,clothing,jeans,459,True,True,winter
2018,january,tuesday,clothing,shirt,289,False,True,winter
2018,january,tuesday,clothing,tshirt,485,True,False,winter
2018,january,tuesday,clothing,trouser,236,True,False,winter
2018,january,tuesday,clothing,jacket,120,False,True,winter
2018,january,tuesday,clothing,blazer,130,True,True,winter
2018,january,tuesday,clothing,suit,95,True,False,winter
2018,january,tuesday,travel,powerbank,352,True,False,winter
2018,january,tuesday,travel,backpack,331,False,True,winter
2018,january,tuesday,travel,luggage,271,False,True,winter
2018,january,tuesday,travel,trolley,200,False,True,winter
2018,january,tuesday,travel,bag,142,False,True,winter
2018,january,tuesday,travel,wallet,271,False,True,winter
2018,january,tuesday,travel,sunglasses,119,True,False,winter
2018,january,tuesday,travel,watch,204,False,True,winter
2018,january,tuesday,travel,shoes,450,True,True,winter
2018,january,tuesday,travel,umbrella,349,True,True,winter
2018,january,tuesday,beauty,lipstick,252,True,False,winter
2018,january,tuesday,beauty,eyeliner,255,False,False,winter
2018,january,tuesday,beauty,mascara,196,True,False,winter
2018,january,tuesday,beauty,foundation,120,False,True,winter
2018,january,tuesday,beauty,compact,114,False,True,winter
2018,january,tuesday,beauty,kajal,235,False,True,winter
2018,january,tuesday,beauty,nailpolish,290,True,True,winter
2018,january,tuesday,beauty,perfume,120,False,True,winter
2018,january,tuesday,beauty,shampoo,338,False,True,winter
2018,january,tuesday,beauty,conditioner,382,True,True,winter
2018,january,wednesday,electronics,mobile,253,False,False,winter
2018,january,wednesday,electronics,laptop,142,False,False,winter
2018,january,wednesday,electronics,headphones,394,True,False,winter
2018,january,wednesday,electronics,camera,169,True,True,winter
2018,january,wednesday,electronics,television,162,True,False,winter
2018,january,wednesday,electronics,printer,120,True,True,winter
2018,january,wednesday,electronics,speaker,44,False,False,winter
2018,january,wednesday,electronics,smartwatch,86,False,False,winter
2018,january,wednesday,electronics,tablet,141,True,False,winter
2018,january,wednesday,electronics,heater,67,True,False,winter
2018,january,wednesday,beverages,coffee power,235,True,False,winter
2018,january,wednesday,beverages,softdrink,437,False,True,winter
2018,january,wednesday,beverages,juice,205,False,False,winter
2018,january,wednesday,beverages,energydrink,176,False,False,winter
2018,january,wednesday,beverages,milk,145,False,True,winter
2018,january,wednesday,clothing,saree,223,True,True,winter
2018,january,wednesday,clothing,kurta,156,False,False,winter
2018,january,wednesday,clothing,lehenga,193,True,True,winter
